0.573;1.068
0.606;1.005
0.593;1.015
0.605;1.006
0.609;1.022
0.582;1.064
0.577;1.055
0.605;1.039
0.590;1.086
0.611;1.037
0.586;1.085
0.601;1.129
0.582;1.115
0.591;1.029
0.594;1.036
0.589;1.023
0.593;0.991
0.585;1.042
0.591;1.028
0.569;1.046
0.593;1.049
0.601;1.037
0.617;1.020
0.584;1.045
0.598;1.041
0.582;1.085
0.636;0.990
0.587;0.777
0.243;1.918
0.168;2.562
0.236;2.511
0.060;4.079
0.054;4.172
0.048;4.287
0.077;4.126
0.072;4.183
0.047;4.467
0.034;4.507
0.049;4.667
0.059;4.385
0.055;4.556
0.089;4.158
0.119;3.473
0.151;3.542
0.138;3.268
0.134;3.146
0.187;3.109
0.209;2.931
0.226;2.982
0.295;2.801
0.189;2.984
0.279;2.332
0.234;2.777
0.242;2.608
0.282;2.524
0.269;2.916
0.307;2.371
0.286;2.385
0.302;2.492
0.306;2.314
0.342;2.231
0.327;2.367
0.314;2.169
0.304;2.382
0.331;2.140
0.343;2.089
0.304;2.029
0.334;2.034
0.345;2.040
0.329;2.057
0.342;2.132
0.351;2.054
0.325;2.172
0.330;2.132
0.365;2.015
0.324;2.018
0.379;2.003
0.369;2.073
0.349;1.954
0.393;1.752
0.373;1.787
0.364;1.862
0.384;1.930
0.356;2.107
0.398;1.711
0.344;1.799
0.376;1.660
0.368;1.714
0.377;1.683
0.384;1.636
0.420;1.620
0.364;1.805
0.421;1.655
0.430;1.652
0.419;1.750
0.438;1.641
0.431;1.631
0.462;1.550
0.451;1.480
0.463;1.491
0.471;1.503
0.472;1.438
0.467;1.531
0.463;1.510
0.488;1.386
0.463;1.432
0.481;1.381
0.466;1.463
0.499;1.336
0.474;1.466
0.491;1.478
0.493;1.476
0.483;1.430
0.505;1.355
0.493;1.373
0.525;1.300
0.507;1.258
0.499;1.280
0.497;1.275
0.505;1.270
0.530;1.232
0.515;1.274
0.516;1.323
0.515;1.305
0.532;1.305
0.534;1.242
0.546;1.235
0.519;1.275
0.536;1.264
0.526;1.272
0.550;1.170
0.533;1.290
0.536;1.262
0.515;1.298
0.543;1.224
0.543;1.150
0.527;1.218
0.554;1.168
0.510;1.289
0.557;1.251
0.532;1.288
0.557;1.180
0.517;1.346
0.541;1.299
0.574;1.223
0.549;1.237
0.549;1.249
0.562;1.153
0.558;1.110
0.554;1.132
0.564;1.084
0.581;1.094
0.555;1.160
0.561;1.155
0.577;1.136
0.559;1.160
0.585;1.078
0.561;1.162
0.559;1.199
0.579;1.136
0.571;1.167
0.564;1.176
0.574;1.129
0.597;1.069
0.575;1.088
0.570;1.085
0.586;1.058
0.601;1.047
0.584;1.109
0.589;1.112
0.586;1.133
0.574;1.133
0.585;1.103
0.588;1.056
0.593;1.055
0.596;1.043
0.578;1.086
0.592;1.094
0.591;1.090
0.579;1.156
0.564;1.134
0.602;1.087
0.585;1.066
0.607;1.034
0.583;1.074
0.579;1.066
0.584;1.026
0.581;1.042
0.579;1.011
0.588;1.022
0.591;1.031
0.591;1.082
0.585;1.063
0.598;1.021
0.574;1.110
0.615;1.081
0.588;1.133
0.594;1.066
0.586;1.080
0.587;1.044
0.572;1.075
0.603;1.008
0.592;1.016
0.601;1.013
0.604;1.025
0.581;1.059
0.575;1.054
0.604;1.044
0.592;1.082
0.608;1.036
0.583;1.086
0.603;1.129
0.578;1.116
0.594;1.024
0.595;1.039
0.591;1.017
0.589;0.998
0.579;1.048
0.598;1.027
0.569;1.050
0.591;1.053
0.599;1.041
0.617;1.024
0.583;1.053
0.597;1.046
0.586;1.075
0.638;0.989
0.587;0.777
0.243;1.918
0.167;2.562
0.234;2.505
0.060;4.084
0.054;4.167
0.048;4.275
0.077;4.107
0.072;4.182
0.049;4.451
0.034;4.502
0.047;4.672
0.057;4.388
0.055;4.559
0.087;4.175
0.121;3.469
0.150;3.555
0.139;3.276
0.135;3.150
0.185;3.091
0.209;2.947
0.225;2.976
0.286;2.809
0.191;2.993
0.272;2.337
0.238;2.776
0.246;2.604
0.279;2.533
0.269;2.909
0.309;2.378
0.293;2.362
0.302;2.479
0.310;2.285
0.340;2.228
0.324;2.381
0.314;2.163
0.298;2.404
0.328;2.149
0.337;2.107
0.301;2.023
0.332;2.023
0.347;2.035
0.336;2.060
0.344;2.125
0.348;2.052
0.326;2.170
0.325;2.148
0.367;2.012
0.325;2.011
0.386;1.998
0.373;2.082
0.348;1.954
0.392;1.745
0.370;1.793
0.367;1.847
0.374;1.932
0.356;2.118
0.401;1.715
0.348;1.780
0.379;1.668
0.368;1.711
0.376;1.702
0.388;1.637
0.419;1.617
0.366;1.813
0.416;1.674
0.423;1.659
0.418;1.737
0.435;1.645
0.436;1.619
0.461;1.548
0.449;1.464
0.465;1.486
0.469;1.502
0.471;1.431
0.465;1.535
0.466;1.501
0.483;1.392
0.463;1.426
0.483;1.370
0.468;1.469
0.502;1.344
